MAN_IN_THE_MIRROR -- sample 0, starts on beat 4, lasts for 4 beats
BAD -- sample 0, starts on beat 44, lasts for 8 beats
SMOOTH_CRIMINAL -- sample 1, starts on beat 8, lasts for 2 beats
MAKE_ME_FEEL -- sample 0, starts on beat 52, lasts for 3 beats
BAD -- sample 0, starts on beat 48, lasts for 2 beats
BAD -- sample 0, starts on beat 56, lasts for 4 beats
SMOOTH_CRIMINAL -- sample 0, starts on beat 8, lasts for 1 beats
BLACK_OR_WHITE -- sample 0, starts on beat 20, lasts for 2 beats
BILLIE_JEAN -- sample 0, starts on beat 32, lasts for 6 beats
MAN_IN_THE_MIRROR -- sample 0, starts on beat 20, lasts for 8 beats
SMOOTH_CRIMINAL -- sample 0, starts on beat 4, lasts for 1 beats
BLACK_OR_WHITE -- sample 0, starts on beat 8, lasts for 4 beats
BILLIE_JEAN -- sample 0, starts on beat 16, lasts for 1 beats
SMOOTH_CRIMINAL -- sample 1, starts on beat 8, lasts for 1 beats
BILLIE_JEAN -- sample 0, starts on beat 52, lasts for 2 beats
BEAT_IT -- sample 0, starts on beat 48, lasts for 6 beats
BILLIE_JEAN -- sample 0, starts on beat 28, lasts for 8 beats
BAD -- sample 0, starts on beat 16, lasts for 2 beats
SMOOTH_CRIMINAL -- sample 1, starts on beat 40, lasts for 2 beats
BILLIE_JEAN -- sample 0, starts on beat 36, lasts for 4 beats
MAN_IN_THE_MIRROR -- sample 0, starts on beat 28, lasts for 6 beats
BAD -- sample 0, starts on beat 48, lasts for 2 beats
BEAT_IT -- sample 0, starts on beat 56, lasts for 4 beats
THRILLER -- sample 0, starts on beat 8, lasts for 1 beats
MAKE_ME_FEEL -- sample 0, starts on beat 20, lasts for 2 beats
BAD -- sample 0, starts on beat 32, lasts for 8 beats
MAN_IN_THE_MIRROR -- sample 0, starts on beat 20, lasts for 4 beats
SMOOTH_CRIMINAL -- sample 0, starts on beat 36, lasts for 4 beats
MAKE_ME_FEEL -- sample 0, starts on beat 28, lasts for 4 beats
BEAT_IT -- sample 0, starts on beat 48, lasts for 4 beats
MAKE_ME_FEEL -- sample 0, starts on beat 28, lasts for 1 beats
SMOOTH_CRIMINAL -- sample 0, starts on beat 20, lasts for 4 beats
THRILLER -- sample 0, starts on beat 36, lasts for 4 beats
BILLIE_JEAN -- sample 0, starts on beat 28, lasts for 4 beats
BAD -- sample 0, starts on beat 48, lasts for 4 beats
BAD -- sample 0, starts on beat 60, lasts for 2 beats
BAD -- sample 0, starts on beat 4, lasts for 2 beats
SMOOTH_CRIMINAL -- sample 0, starts on beat 40, lasts for 6 beats
BLACK_OR_WHITE -- sample 0, starts on beat 0, lasts for 6 beats
THRILLER -- sample 0, starts on beat 36, lasts for 8 beats
BLACK_OR_WHITE -- sample 0, starts on beat 28, lasts for 1 beats
MAKE_ME_FEEL -- sample 0, starts on beat 20, lasts for 4 beats
SMOOTH_CRIMINAL -- sample 1, starts on beat 4, lasts for 8 beats
MAKE_ME_FEEL -- sample 0, starts on beat 44, lasts for 1 beats
SMOOTH_CRIMINAL -- sample 0, starts on beat 44, lasts for 4 beats
THRILLER -- sample 0, starts on beat 8, lasts for 4 beats
BLACK_OR_WHITE -- sample 0, starts on beat 16, lasts for 2 beats
BILLIE_JEAN -- sample 0, starts on beat 40, lasts for 2 beats
SMOOTH_CRIMINAL -- sample 0, starts on beat 36, lasts for 4 beats
MAKE_ME_FEEL -- sample 0, starts on beat 28, lasts for 4 beats
BEAT_IT -- sample 0, starts on beat 16, lasts for 4 beats
MAKE_ME_FEEL -- sample 0, starts on beat 12, lasts for 1 beats
SMOOTH_CRIMINAL -- sample 0, starts on beat 28, lasts for 4 beats
THRILLER -- sample 0, starts on beat 48, lasts for 4 beats
BLACK_OR_WHITE -- sample 0, starts on beat 60, lasts for 2 beats
BLACK_OR_WHITE -- sample 0, starts on beat 4, lasts for 6 beats
THRILLER -- sample 0, starts on beat 12, lasts for 3 beats
BILLIE_JEAN -- sample 0, starts on beat 28, lasts for 2 beats
MAN_IN_THE_MIRROR -- sample 0, starts on beat 52, lasts for 2 beats
MAN_IN_THE_MIRROR -- sample 0, starts on beat 48, lasts for 8 beats
MAN_IN_THE_MIRROR -- sample 0, starts on beat 60, lasts for 4 beats
BEAT_IT -- sample 0, starts on beat 32, lasts for 8 beats
THRILLER -- sample 0, starts on beat 20, lasts for 4 beats
BLACK_OR_WHITE -- sample 0, starts on beat 4, lasts for 4 beats
BLACK_OR_WHITE -- sample 0, starts on beat 12, lasts for 4 beats
THRILLER -- sample 0, starts on beat 56, lasts for 6 beats
THRILLER -- sample 0, starts on beat 40, lasts for 6 beats
MAKE_ME_FEEL -- sample 0, starts on beat 0, lasts for 6 beats
MAN_IN_THE_MIRROR -- sample 0, starts on beat 4, lasts for 6 beats
BEAT_IT -- sample 0, starts on beat 12, lasts for 2 beats
BLACK_OR_WHITE -- sample 0, starts on beat 60, lasts for 2 beats
BILLIE_JEAN -- sample 0, starts on beat 36, lasts for 6 beats
SMOOTH_CRIMINAL -- sample 1, starts on beat 60, lasts for 3 beats
MAKE_ME_FEEL -- sample 0, starts on beat 4, lasts for 2 beats
SMOOTH_CRIMINAL -- sample 1, starts on beat 8, lasts for 1 beats
BILLIE_JEAN -- sample 0, starts on beat 52, lasts for 2 beats
BAD -- sample 0, starts on beat 48, lasts for 6 beats
BEAT_IT -- sample 0, starts on beat 28, lasts for 8 beats
THRILLER -- sample 0, starts on beat 16, lasts for 2 beats
BLACK_OR_WHITE -- sample 0, starts on beat 40, lasts for 3 beats
BILLIE_JEAN -- sample 0, starts on beat 4, lasts for 8 beats
BEAT_IT -- sample 0, starts on beat 12, lasts for 2 beats
THRILLER -- sample 0, starts on beat 28, lasts for 6 beats
THRILLER -- sample 0, starts on beat 48, lasts for 2 beats
MAKE_ME_FEEL -- sample 0, starts on beat 24, lasts for 4 beats
MAN_IN_THE_MIRROR -- sample 0, starts on beat 24, lasts for 3 beats
SMOOTH_CRIMINAL -- sample 0, starts on beat 28, lasts for 6 beats
BILLIE_JEAN -- sample 0, starts on beat 48, lasts for 2 beats
MAN_IN_THE_MIRROR -- sample 0, starts on beat 24, lasts for 4 beats
MAN_IN_THE_MIRROR -- sample 0, starts on beat 24, lasts for 2 beats
SMOOTH_CRIMINAL -- sample 0, starts on beat 28, lasts for 3 beats
MAKE_ME_FEEL -- sample 0, starts on beat 52, lasts for 2 beats
SMOOTH_CRIMINAL -- sample 1, starts on beat 48, lasts for 1 beats
BLACK_OR_WHITE -- sample 0, starts on beat 24, lasts for 2 beats
BILLIE_JEAN -- sample 0, starts on beat 60, lasts for 2 beats
SMOOTH_CRIMINAL -- sample 0, starts on beat 36, lasts for 2 beats
THRILLER -- sample 0, starts on beat 24, lasts for 8 beats
BLACK_OR_WHITE -- sample 0, starts on beat 24, lasts for 4 beats
MAKE_ME_FEEL -- sample 0, starts on beat 56, lasts for 2 beats
SMOOTH_CRIMINAL -- sample 1, starts on beat 12, lasts for 4 beats
BLACK_OR_WHITE -- sample 0, starts on beat 56, lasts for 8 beats
BLACK_OR_WHITE -- sample 0, starts on beat 8, lasts for 4 beats
BILLIE_JEAN -- sample 0, starts on beat 48, lasts for 1 beats
MAN_IN_THE_MIRROR -- sample 0, starts on beat 56, lasts for 1 beats
BAD -- sample 0, starts on beat 44, lasts for 2 beats
SMOOTH_CRIMINAL -- sample 1, starts on beat 44, lasts for 6 beats
BLACK_OR_WHITE -- sample 0, starts on beat 40, lasts for 2 beats
THRILLER -- sample 0, starts on beat 4, lasts for 4 beats
BILLIE_JEAN -- sample 0, starts on beat 12, lasts for 4 beats
BEAT_IT -- sample 0, starts on beat 56, lasts for 4 beats
BLACK_OR_WHITE -- sample 0, starts on beat 8, lasts for 2 beats
THRILLER -- sample 0, starts on beat 52, lasts for 4 beats
BILLIE_JEAN -- sample 0, starts on beat 20, lasts for 4 beats
BEAT_IT -- sample 0, starts on beat 36, lasts for 4 beats
BLACK_OR_WHITE -- sample 0, starts on beat 28, lasts for 6 beats
MAKE_ME_FEEL -- sample 0, starts on beat 16, lasts for 3 beats
BAD -- sample 0, starts on beat 40, lasts for 6 beats
BAD -- sample 0, starts on beat 32, lasts for 8 beats
SMOOTH_CRIMINAL -- sample 0, starts on beat 52, lasts for 4 beats
MAKE_ME_FEEL -- sample 0, starts on beat 52, lasts for 4 beats
BEAT_IT -- sample 0, starts on beat 20, lasts for 4 beats
MAKE_ME_FEEL -- sample 0, starts on beat 36, lasts for 4 beats
MAN_IN_THE_MIRROR -- sample 0, starts on beat 56, lasts for 8 beats
MAN_IN_THE_MIRROR -- sample 0, starts on beat 32, lasts for 1 beats
BAD -- sample 0, starts on beat 48, lasts for 2 beats
MAN_IN_THE_MIRROR -- sample 0, starts on beat 24, lasts for 2 beats
BEAT_IT -- sample 0, starts on beat 60, lasts for 4 beats
